Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chrX	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
76T-ensemble-annotated	3.0	1.0	1.0	1.0	3.0	6.0	16.0	1.0	3.0	2.0	2.0	6.0	5.0	2.0	3.0	5.0	1.0	3.0	2.0	7.0	nan	nan	3.0
77M-ensemble-annotated	nan	2.0	1.0	5.0	1.0	1.0	3.0	2.0	1.0	3.0	nan	2.0	nan	nan	nan	nan	nan	1.0	1.0	1.0	nan	1.0	nan
77T-ensemble-annotated	23.0	23.0	11.0	10.0	5.0	18.0	15.0	11.0	7.0	12.0	17.0	24.0	12.0	5.0	20.0	15.0	17.0	19.0	5.0	19.0	11.0	3.0	5.0
82M-ensemble-annotated	nan	2.0	2.0	2.0	nan	2.0	2.0	1.0	nan	nan	nan	nan	2.0	1.0	nan	2.0	1.0	4.0	nan	3.0	nan	1.0	1.0
82T-ensemble-annotated	nan	2.0	1.0	2.0	nan	1.0	2.0	nan	nan	nan	nan	1.0	4.0	3.0	1.0	1.0	1.0	3.0	nan	2.0	1.0	1.0	nan
83M-ensemble-annotated	4.0	2.0	1.0	nan	1.0	9.0	13.0	nan	3.0	nan	1.0	3.0	4.0	2.0	5.0	3.0	nan	6.0	nan	4.0	1.0	1.0	1.0
83T-ensemble-annotated	3.0	4.0	1.0	1.0	3.0	9.0	12.0	2.0	2.0	1.0	1.0	4.0	6.0	3.0	5.0	5.0	nan	7.0	nan	3.0	nan	1.0	3.0
84M-ensemble-annotated	2.0	5.0	2.0	2.0	4.0	3.0	3.0	1.0	4.0	5.0	2.0	3.0	6.0	2.0	4.0	3.0	1.0	5.0	3.0	5.0	1.0	3.0	1.0
84T-ensemble-annotated	1.0	nan	2.0	2.0	1.0	15.0	13.0	nan	3.0	2.0	1.0	1.0	2.0	2.0	4.0	1.0	4.0	4.0	nan	2.0	nan	1.0	1.0
86M-ensemble-annotated	6.0	2.0	2.0	nan	3.0	10.0	10.0	3.0	nan	1.0	nan	5.0	3.0	nan	5.0	5.0	1.0	7.0	2.0	7.0	nan	1.0	1.0
86T-ensemble-annotated	3.0	nan	2.0	nan	1.0	11.0	4.0	4.0	nan	2.0	nan	1.0	3.0	2.0	2.0	3.0	1.0	7.0	1.0	7.0	nan	1.0	1.0
88M-ensemble-annotated	2.0	3.0	2.0	1.0	2.0	7.0	15.0	1.0	1.0	nan	1.0	5.0	1.0	2.0	5.0	3.0	3.0	4.0	nan	3.0	1.0	2.0	3.0
88T-ensemble-annotated	9.0	6.0	6.0	2.0	5.0	6.0	13.0	2.0	3.0	4.0	3.0	2.0	4.0	1.0	4.0	5.0	3.0	5.0	1.0	9.0	1.0	nan	3.0
9M-ensemble-annotated	3.0	2.0	5.0	nan	1.0	4.0	6.0	nan	nan	4.0	1.0	1.0	2.0	nan	1.0	nan	nan	4.0	nan	8.0	nan	nan	nan
9T-ensemble-annotated	2.0	nan	1.0	nan	5.0	1.0	1.0	nan	1.0	nan	1.0	2.0	2.0	nan	nan	nan	nan	2.0	3.0	nan	nan	nan	nan
