Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	Variants by chromosome	Position in protein	General statistics
27M-ensemble-annotated	{'insertion': 2, 'deletion': 15, 'SNV': 160}	{'splice_acceptor_variant': 24, 'splice_donor_variant': 33, 'stop_gained': 49, 'frameshift_variant': 14, 'start_lost': 1, 'inframe_deletion': 3, 'missense_variant': 50, 'splice_region_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intergenic_variant': 1}	{'splice_acceptor_variant': 171, 'splice_donor_variant': 143, 'stop_gained': 313, 'frameshift_variant': 47, 'start_lost': 12, 'inframe_deletion': 18, 'missense_variant': 214, 'splice_region_variant': 311, 'splice_polypyrimidine_tract_variant': 1, '5_prime_UTR_variant': 11, '3_prime_UTR_variant': 77, 'non_coding_transcript_exon_variant': 247, 'intron_variant': 224, 'NMD_transcript_variant': 203, 'non_coding_transcript_variant': 142, 'upstream_gene_variant': 267, 'downstream_gene_variant': 610, 'intergenic_variant': 1}	{'stop_gained': 313, 'frameshift_variant': 47, 'start_lost': 12, 'inframe_deletion': 18, 'missense_variant': 214}	{'chr1': 15, 'chr2': 21, 'chr3': 8, 'chr4': 3, 'chr5': 9, 'chr6': 6, 'chr7': 9, 'chr8': 8, 'chr9': 2, 'chr10': 6, 'chr11': 14, 'chr12': 14, 'chr13': 3, 'chr14': 6, 'chr15': 6, 'chr16': 4, 'chr17': 14, 'chr18': 4, 'chr19': 6, 'chr20': 5, 'chr21': 3, 'chr22': 3, 'chrX': 8}	{'00-10%': 36, '10-20%': 52, '20-30%': 57, '30-40%': 90, '40-50%': 67, '50-60%': 57, '60-70%': 76, '70-80%': 48, '80-90%': 101, '90-100%': 20}	{'Lines of input read': 177, 'Variants processed': 177, 'Variants filtered out': 0, 'Overlapped genes': 293, 'Overlapped transcripts': 2351}
27T-ensemble-annotated	{'insertion': 3, 'deletion': 9, 'SNV': 10}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 2, 'stop_gained': 2, 'frameshift_variant': 10, 'inframe_insertion': 1, 'inframe_deletion': 1, 'missense_variant': 5}	{'splice_acceptor_variant': 42, 'splice_donor_variant': 6, 'stop_gained': 10, 'frameshift_variant': 29, 'inframe_insertion': 1, 'inframe_deletion': 1, 'missense_variant': 43, 'splice_region_variant': 31, '3_prime_UTR_variant': 11, 'non_coding_transcript_exon_variant': 49, 'intron_variant': 41, 'NMD_transcript_variant': 25, 'non_coding_transcript_variant': 57, 'upstream_gene_variant': 46, 'downstream_gene_variant': 37}	{'stop_gained': 10, 'frameshift_variant': 29, 'inframe_insertion': 1, 'inframe_deletion': 1, 'missense_variant': 43}	{'chr1': 4, 'chr2': 3, 'chr3': 2, 'chr4': 1, 'chr5': 1, 'chr8': 1, 'chr9': 1, 'chr10': 1, 'chr11': 2, 'chr12': 1, 'chr15': 1, 'chr17': 1, 'chr19': 1, 'chr20': 1, 'chrX': 1}	{'00-10%': 17, '10-20%': 5, '20-30%': 2, '30-40%': 0, '40-50%': 4, '50-60%': 3, '60-70%': 17, '70-80%': 14, '80-90%': 15, '90-100%': 7}	{'Lines of input read': 22, 'Variants processed': 22, 'Variants filtered out': 0, 'Overlapped genes': 35, 'Overlapped transcripts': 316}
2M-ensemble-annotated	{'insertion': 5, 'deletion': 6, 'SNV': 16}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 1, 'stop_gained': 9, 'frameshift_variant': 9, 'stop_lost': 1, 'missense_variant': 5, '5_prime_UTR_variant': 1}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 1, 'stop_gained': 59, 'frameshift_variant': 22, 'stop_lost': 4, 'inframe_deletion': 4, 'missense_variant': 14, 'splice_region_variant': 15, '5_prime_UTR_variant': 9, '3_prime_UTR_variant': 11, 'non_coding_transcript_exon_variant': 33, 'intron_variant': 92, 'NMD_transcript_variant': 52, 'non_coding_transcript_variant': 24, 'upstream_gene_variant': 45, 'downstream_gene_variant': 39}	{'stop_gained': 59, 'frameshift_variant': 22, 'stop_lost': 4, 'inframe_deletion': 4, 'missense_variant': 14}	{'chr1': 2, 'chr2': 3, 'chr3': 3, 'chr4': 1, 'chr6': 2, 'chr7': 1, 'chr8': 1, 'chr9': 2, 'chr10': 1, 'chr11': 1, 'chr12': 3, 'chr16': 1, 'chr17': 1, 'chr20': 1, 'chr22': 2, 'chrX': 2}	{'00-10%': 9, '10-20%': 10, '20-30%': 10, '30-40%': 4, '40-50%': 12, '50-60%': 18, '60-70%': 10, '70-80%': 8, '80-90%': 9, '90-100%': 9}	{'Lines of input read': 27, 'Variants processed': 27, 'Variants filtered out': 0, 'Overlapped genes': 53, 'Overlapped transcripts': 331}
2T-ensemble-annotated	{'insertion': 2, 'deletion': 3, 'SNV': 17}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 5, 'stop_gained': 7, 'frameshift_variant': 2, 'stop_lost': 1, 'inframe_deletion': 1, 'missense_variant': 4, '5_prime_UTR_variant': 1}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 10, 'stop_gained': 35, 'frameshift_variant': 3, 'stop_lost': 4, 'inframe_deletion': 8, 'missense_variant': 12, 'splice_region_variant': 12, '5_prime_UTR_variant': 11, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 28, 'NMD_transcript_variant': 15, 'non_coding_transcript_variant': 11, 'upstream_gene_variant': 25, 'downstream_gene_variant': 21}	{'stop_gained': 35, 'frameshift_variant': 3, 'stop_lost': 4, 'inframe_deletion': 8, 'missense_variant': 12}	{'chr2': 2, 'chr3': 3, 'chr4': 2, 'chr5': 1, 'chr6': 1, 'chr7': 1, 'chr9': 1, 'chr10': 1, 'chr12': 2, 'chr16': 1, 'chr19': 1, 'chr20': 1, 'chr21': 1, 'chr22': 2, 'chrX': 2}	{'00-10%': 8, '10-20%': 6, '20-30%': 9, '30-40%': 5, '40-50%': 3, '50-60%': 5, '60-70%': 5, '70-80%': 8, '80-90%': 5, '90-100%': 4}	{'Lines of input read': 22, 'Variants processed': 22, 'Variants filtered out': 0, 'Overlapped genes': 37, 'Overlapped transcripts': 166}
36M-ensemble-annotated	{'insertion': 1, 'SNV': 5, 'deletion': 7}	{'stop_gained': 3, 'frameshift_variant': 7, 'stop_lost': 1, 'inframe_deletion': 1, 'missense_variant': 1}	{'stop_gained': 10, 'frameshift_variant': 25, 'stop_lost': 1, 'inframe_deletion': 2, 'missense_variant': 3, 'splice_region_variant': 7, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 9, 'intron_variant': 13, 'NMD_transcript_variant': 4, 'non_coding_transcript_variant': 9, 'upstream_gene_variant': 14, 'downstream_gene_variant': 19}	{'stop_gained': 10, 'frameshift_variant': 25, 'stop_lost': 1, 'inframe_deletion': 2, 'missense_variant': 3}	{'chr1': 1, 'chr2': 1, 'chr4': 1, 'chr8': 1, 'chr9': 1, 'chr10': 1, 'chr12': 2, 'chr14': 1, 'chr15': 1, 'chr17': 2, 'chr19': 1}	{'00-10%': 2, '10-20%': 13, '20-30%': 3, '30-40%': 2, '40-50%': 2, '50-60%': 2, '60-70%': 6, '70-80%': 7, '80-90%': 2, '90-100%': 2}	{'Lines of input read': 13, 'Variants processed': 13, 'Variants filtered out': 0, 'Overlapped genes': 20, 'Overlapped transcripts': 100}
36T-ensemble-annotated	{'deletion': 1, 'SNV': 8}	{'splice_donor_variant': 2, 'stop_gained': 2, 'stop_lost': 2, 'inframe_deletion': 1, 'missense_variant': 2}	{'splice_donor_variant': 2, 'stop_gained': 10, 'stop_lost': 6, 'inframe_deletion': 5, 'missense_variant': 7, 'splice_region_variant': 6, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 33, 'NMD_transcript_variant': 14, 'non_coding_transcript_variant': 4, 'upstream_gene_variant': 7, 'downstream_gene_variant': 7}	{'stop_gained': 10, 'stop_lost': 6, 'inframe_deletion': 5, 'missense_variant': 7}	{'chr1': 1, 'chr3': 1, 'chr8': 1, 'chr9': 1, 'chr11': 1, 'chr15': 1, 'chr17': 1, 'chr18': 1, 'chr19': 1}	{'00-10%': 5, '10-20%': 3, '20-30%': 1, '30-40%': 0, '40-50%': 3, '50-60%': 0, '60-70%': 7, '70-80%': 2, '80-90%': 0, '90-100%': 7}	{'Lines of input read': 9, 'Variants processed': 9, 'Variants filtered out': 0, 'Overlapped genes': 13, 'Overlapped transcripts': 85}
40M-ensemble-annotated	{'insertion': 3, 'deletion': 5, 'SNV': 9}	{'splice_acceptor_variant': 3, 'stop_gained': 1, 'frameshift_variant': 3, 'stop_lost': 1, 'start_lost': 1, 'inframe_insertion': 1, 'inframe_deletion': 1, 'missense_variant': 4, 'splice_region_variant': 2}	{'splice_acceptor_variant': 11, 'stop_gained': 6, 'frameshift_variant': 5, 'stop_lost': 1, 'start_lost': 3, 'inframe_insertion': 2, 'inframe_deletion': 5, 'missense_variant': 11, 'splice_region_variant': 28, 'splice_polypyrimidine_tract_variant': 9, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 29, 'NMD_transcript_variant': 5, 'non_coding_transcript_variant': 17, 'upstream_gene_variant': 15, 'downstream_gene_variant': 12}	{'stop_gained': 6, 'frameshift_variant': 5, 'stop_lost': 1, 'start_lost': 3, 'inframe_insertion': 2, 'inframe_deletion': 5, 'missense_variant': 11}	{'chr1': 2, 'chr2': 2, 'chr4': 2, 'chr5': 1, 'chr6': 1, 'chr7': 3, 'chr11': 1, 'chr12': 1, 'chr14': 1, 'chr15': 1, 'chr16': 1, 'chr19': 1}	{'00-10%': 8, '10-20%': 5, '20-30%': 0, '30-40%': 1, '40-50%': 4, '50-60%': 2, '60-70%': 0, '70-80%': 3, '80-90%': 7, '90-100%': 3}	{'Lines of input read': 17, 'Variants processed': 17, 'Variants filtered out': 0, 'Overlapped genes': 26, 'Overlapped transcripts': 108}
40T-ensemble-annotated	{'insertion': 1, 'deletion': 3, 'SNV': 6}	{'splice_acceptor_variant': 3, 'stop_gained': 1, 'frameshift_variant': 1, 'inframe_deletion': 1, 'missense_variant': 2, 'splice_region_variant': 1, 'non_coding_transcript_exon_variant': 1}	{'splice_acceptor_variant': 13, 'stop_gained': 6, 'frameshift_variant': 1, 'inframe_deletion': 3, 'missense_variant': 9, 'splice_region_variant': 14, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 19, 'NMD_transcript_variant': 6, 'non_coding_transcript_variant': 5, 'upstream_gene_variant': 11, 'downstream_gene_variant': 11}	{'stop_gained': 6, 'frameshift_variant': 1, 'inframe_deletion': 3, 'missense_variant': 9}	{'chr4': 2, 'chr5': 1, 'chr7': 2, 'chr10': 1, 'chr11': 2, 'chr14': 1, 'chr16': 1}	{'00-10%': 0, '10-20%': 4, '20-30%': 0, '30-40%': 0, '40-50%': 2, '50-60%': 3, '60-70%': 0, '70-80%': 2, '80-90%': 7, '90-100%': 1}	{'Lines of input read': 10, 'Variants processed': 10, 'Variants filtered out': 0, 'Overlapped genes': 13, 'Overlapped transcripts': 78}
45M-ensemble-annotated	{'insertion': 23, 'deletion': 51, 'SNV': 442}	{'splice_acceptor_variant': 53, 'splice_donor_variant': 94, 'stop_gained': 141, 'frameshift_variant': 44, 'stop_lost': 2, 'start_lost': 4, 'inframe_insertion': 11, 'inframe_deletion': 14, 'missense_variant': 143, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 1}	{'splice_acceptor_variant': 331, 'splice_donor_variant': 490, 'stop_gained': 502, 'frameshift_variant': 206, 'stop_lost': 3, 'start_lost': 11, 'inframe_insertion': 38, 'inframe_deletion': 28, 'missense_variant': 654, 'splice_donor_5th_base_variant': 7, 'splice_region_variant': 799, 'splice_donor_region_variant': 5, 'splice_polypyrimidine_tract_variant': 43, 'incomplete_terminal_codon_variant': 5, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 30, 'coding_sequence_variant': 5, '5_prime_UTR_variant': 40, '3_prime_UTR_variant': 213, 'non_coding_transcript_exon_variant': 571, 'intron_variant': 751, 'NMD_transcript_variant': 629, 'non_coding_transcript_variant': 499, 'upstream_gene_variant': 785, 'downstream_gene_variant': 1041}	{'stop_gained': 502, 'frameshift_variant': 206, 'stop_lost': 3, 'start_lost': 11, 'inframe_insertion': 38, 'inframe_deletion': 28, 'missense_variant': 654, 'incomplete_terminal_codon_variant': 5, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 30, 'coding_sequence_variant': 5}	{'chr1': 54, 'chr2': 27, 'chr3': 30, 'chr4': 16, 'chr5': 22, 'chr6': 37, 'chr7': 36, 'chr8': 21, 'chr9': 18, 'chr10': 7, 'chr11': 33, 'chr12': 30, 'chr13': 13, 'chr14': 17, 'chr15': 14, 'chr16': 25, 'chr17': 41, 'chr18': 7, 'chr19': 33, 'chr20': 14, 'chr21': 1, 'chr22': 14, 'chrX': 6}	{'00-10%': 145, '10-20%': 137, '20-30%': 138, '30-40%': 137, '40-50%': 138, '50-60%': 166, '60-70%': 145, '70-80%': 157, '80-90%': 135, '90-100%': 178}	{'Lines of input read': 516, 'Variants processed': 516, 'Variants filtered out': 0, 'Overlapped genes': 850, 'Overlapped transcripts': 5483}
45T-ensemble-annotated	{'insertion': 7, 'deletion': 15, 'SNV': 43}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 3, 'stop_gained': 18, 'frameshift_variant': 8, 'stop_lost': 3, 'start_lost': 1, 'inframe_insertion': 4, 'inframe_deletion': 5, 'missense_variant': 15, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 3, 'upstream_gene_variant': 1}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 5, 'stop_gained': 35, 'frameshift_variant': 22, 'stop_lost': 5, 'start_lost': 5, 'inframe_insertion': 18, 'inframe_deletion': 5, 'missense_variant': 42, 'splice_region_variant': 60, 'splice_donor_region_variant': 8, 'splice_polypyrimidine_tract_variant': 6, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 1, '5_prime_UTR_variant': 14, '3_prime_UTR_variant': 18, 'non_coding_transcript_exon_variant': 84, 'intron_variant': 182, 'NMD_transcript_variant': 67, 'non_coding_transcript_variant': 48, 'upstream_gene_variant': 104, 'downstream_gene_variant': 129}	{'stop_gained': 35, 'frameshift_variant': 22, 'stop_lost': 5, 'start_lost': 5, 'inframe_insertion': 18, 'inframe_deletion': 5, 'missense_variant': 42, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 1}	{'chr1': 4, 'chr2': 2, 'chr3': 3, 'chr4': 1, 'chr5': 1, 'chr6': 11, 'chr7': 3, 'chr8': 3, 'chr9': 1, 'chr10': 1, 'chr11': 1, 'chr12': 5, 'chr13': 1, 'chr14': 1, 'chr15': 3, 'chr17': 6, 'chr19': 11, 'chr21': 1, 'chr22': 5, 'chrX': 1}	{'00-10%': 19, '10-20%': 9, '20-30%': 5, '30-40%': 9, '40-50%': 19, '50-60%': 14, '60-70%': 10, '70-80%': 14, '80-90%': 16, '90-100%': 16}	{'Lines of input read': 65, 'Variants processed': 65, 'Variants filtered out': 0, 'Overlapped genes': 115, 'Overlapped transcripts': 658}
46M-ensemble-annotated	{'insertion': 4, 'deletion': 9, 'SNV': 14}	{'splice_acceptor_variant': 3, 'stop_gained': 7, 'frameshift_variant': 13, 'missense_variant': 3, 'intergenic_variant': 1}	{'splice_acceptor_variant': 7, 'stop_gained': 34, 'frameshift_variant': 50, 'missense_variant': 14, 'splice_region_variant': 35, 'synonymous_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 8, 'non_coding_transcript_exon_variant': 32, 'intron_variant': 17, 'NMD_transcript_variant': 18, 'non_coding_transcript_variant': 7, 'upstream_gene_variant': 41, 'downstream_gene_variant': 38, 'intergenic_variant': 1}	{'stop_gained': 34, 'frameshift_variant': 50, 'missense_variant': 14, 'synonymous_variant': 1}	{'chr1': 5, 'chr2': 1, 'chr3': 1, 'chr4': 2, 'chr6': 2, 'chr7': 2, 'chr9': 1, 'chr11': 2, 'chr12': 2, 'chr13': 2, 'chr14': 1, 'chr15': 2, 'chr17': 1, 'chr19': 1, 'chrX': 2}	{'00-10%': 7, '10-20%': 4, '20-30%': 10, '30-40%': 13, '40-50%': 18, '50-60%': 5, '60-70%': 9, '70-80%': 12, '80-90%': 10, '90-100%': 11}	{'Lines of input read': 27, 'Variants processed': 27, 'Variants filtered out': 0, 'Overlapped genes': 38, 'Overlapped transcripts': 234}
46T-ensemble-annotated	{'deletion': 5, 'insertion': 7, 'SNV': 103}	{'splice_acceptor_variant': 9, 'splice_donor_variant': 31, 'stop_gained': 34, 'frameshift_variant': 12, 'start_lost': 1, 'missense_variant': 26, 'splice_donor_5th_base_variant': 1, 'intergenic_variant': 1}	{'splice_acceptor_variant': 54, 'splice_donor_variant': 261, 'stop_gained': 140, 'frameshift_variant': 43, 'start_lost': 1, 'missense_variant': 72, 'splice_donor_5th_base_variant': 1, 'splice_region_variant': 147, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 16, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 48, 'non_coding_transcript_exon_variant': 92, 'intron_variant': 160, 'NMD_transcript_variant': 189, 'non_coding_transcript_variant': 125, 'upstream_gene_variant': 206, 'downstream_gene_variant': 251, 'intergenic_variant': 1}	{'stop_gained': 140, 'frameshift_variant': 43, 'start_lost': 1, 'missense_variant': 72, 'synonymous_variant': 16}	{'chr1': 12, 'chr2': 12, 'chr3': 5, 'chr4': 2, 'chr5': 4, 'chr6': 4, 'chr7': 9, 'chr8': 1, 'chr9': 3, 'chr10': 3, 'chr11': 11, 'chr12': 2, 'chr13': 3, 'chr14': 2, 'chr15': 9, 'chr16': 5, 'chr17': 7, 'chr18': 2, 'chr19': 12, 'chr20': 2, 'chr21': 2, 'chr22': 2, 'chrX': 1}	{'00-10%': 14, '10-20%': 14, '20-30%': 19, '30-40%': 45, '40-50%': 26, '50-60%': 38, '60-70%': 42, '70-80%': 18, '80-90%': 26, '90-100%': 30}	{'Lines of input read': 115, 'Variants processed': 115, 'Variants filtered out': 0, 'Overlapped genes': 185, 'Overlapped transcripts': 1303}
52M-ensemble-annotated	{'deletion': 2, 'insertion': 5, 'SNV': 13}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 2, 'stop_gained': 4, 'frameshift_variant': 3, 'stop_lost': 1, 'inframe_insertion': 2, 'inframe_deletion': 1, 'missense_variant': 3, 'splice_region_variant': 1, 'non_coding_transcript_exon_variant': 1, 'upstream_gene_variant': 1}	{'splice_acceptor_variant': 4, 'splice_donor_variant': 9, 'stop_gained': 7, 'frameshift_variant': 8, 'stop_lost': 1, 'inframe_insertion': 3, 'inframe_deletion': 3, 'missense_variant': 18, 'splice_region_variant': 46, 'non_coding_transcript_exon_variant': 46, 'intron_variant': 52, 'NMD_transcript_variant': 3, 'non_coding_transcript_variant': 36, 'upstream_gene_variant': 40, 'downstream_gene_variant': 32}	{'stop_gained': 7, 'frameshift_variant': 8, 'stop_lost': 1, 'inframe_insertion': 3, 'inframe_deletion': 3, 'missense_variant': 18}	{'chr1': 3, 'chr2': 2, 'chr4': 1, 'chr6': 1, 'chr7': 3, 'chr11': 1, 'chr12': 2, 'chr14': 2, 'chr16': 1, 'chr19': 4}	{'00-10%': 11, '10-20%': 2, '20-30%': 4, '30-40%': 3, '40-50%': 4, '50-60%': 3, '60-70%': 5, '70-80%': 4, '80-90%': 2, '90-100%': 2}	{'Lines of input read': 20, 'Variants processed': 20, 'Variants filtered out': 0, 'Overlapped genes': 41, 'Overlapped transcripts': 208}
52T-ensemble-annotated	{'deletion': 4, 'insertion': 4, 'SNV': 11}	{'splice_acceptor_variant': 1, 'stop_gained': 8, 'frameshift_variant': 5, 'inframe_insertion': 1, 'inframe_deletion': 1, 'missense_variant': 1, 'splice_region_variant': 1, 'non_coding_transcript_exon_variant': 1}	{'splice_acceptor_variant': 4, 'stop_gained': 39, 'frameshift_variant': 13, 'inframe_insertion': 2, 'inframe_deletion': 3, 'missense_variant': 3, 'splice_region_variant': 34, 'coding_sequence_variant': 4, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 73, 'intron_variant': 39, 'NMD_transcript_variant': 10, 'non_coding_transcript_variant': 24, 'upstream_gene_variant': 43, 'downstream_gene_variant': 17}	{'stop_gained': 39, 'frameshift_variant': 13, 'inframe_insertion': 2, 'inframe_deletion': 3, 'missense_variant': 3, 'coding_sequence_variant': 4}	{'chr1': 1, 'chr2': 4, 'chr4': 1, 'chr7': 4, 'chr10': 1, 'chr11': 1, 'chr12': 2, 'chr14': 1, 'chr17': 1, 'chr19': 1, 'chrX': 2}	{'00-10%': 13, '10-20%': 12, '20-30%': 13, '30-40%': 1, '40-50%': 1, '50-60%': 3, '60-70%': 5, '70-80%': 8, '80-90%': 0, '90-100%': 4}	{'Lines of input read': 19, 'Variants processed': 19, 'Variants filtered out': 0, 'Overlapped genes': 28, 'Overlapped transcripts': 173}
57M-ensemble-annotated	{'insertion': 13, 'deletion': 27, 'SNV': 64}	{'splice_acceptor_variant': 7, 'splice_donor_variant': 13, 'stop_gained': 19, 'frameshift_variant': 15, 'start_lost': 2, 'inframe_insertion': 11, 'inframe_deletion': 11, 'missense_variant': 19, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 2}	{'splice_acceptor_variant': 19, 'splice_donor_variant': 58, 'stop_gained': 52, 'frameshift_variant': 27, 'start_lost': 5, 'inframe_insertion': 33, 'inframe_deletion': 22, 'missense_variant': 67, 'splice_region_variant': 50, 'splice_donor_region_variant': 5, 'splice_polypyrimidine_tract_variant': 7, 'stop_retained_variant': 2, 'synonymous_variant': 3, '5_prime_UTR_variant': 34, '3_prime_UTR_variant': 27, 'non_coding_transcript_exon_variant': 89, 'intron_variant': 263, 'NMD_transcript_variant': 79, 'non_coding_transcript_variant': 185, 'upstream_gene_variant': 159, 'downstream_gene_variant': 178}	{'stop_gained': 52, 'frameshift_variant': 27, 'start_lost': 5, 'inframe_insertion': 33, 'inframe_deletion': 22, 'missense_variant': 67, 'stop_retained_variant': 2, 'synonymous_variant': 3}	{'chr1': 9, 'chr2': 6, 'chr3': 3, 'chr5': 5, 'chr6': 8, 'chr7': 12, 'chr8': 2, 'chr9': 2, 'chr10': 2, 'chr11': 5, 'chr12': 6, 'chr13': 6, 'chr14': 2, 'chr15': 5, 'chr16': 3, 'chr17': 7, 'chr18': 1, 'chr19': 8, 'chr20': 5, 'chr21': 1, 'chr22': 5, 'chrX': 1}	{'00-10%': 50, '10-20%': 13, '20-30%': 23, '30-40%': 24, '40-50%': 17, '50-60%': 27, '60-70%': 10, '70-80%': 19, '80-90%': 12, '90-100%': 14}	{'Lines of input read': 104, 'Variants processed': 104, 'Variants filtered out': 0, 'Overlapped genes': 161, 'Overlapped transcripts': 842}
57T-ensemble-annotated	{'deletion': 2, 'SNV': 10}	{'splice_donor_variant': 2, 'stop_gained': 6, 'frameshift_variant': 2, 'missense_variant': 2}	{'splice_donor_variant': 7, 'stop_gained': 37, 'frameshift_variant': 5, 'missense_variant': 8, 'splice_region_variant': 12, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 12, 'non_coding_transcript_exon_variant': 18, 'intron_variant': 15, 'NMD_transcript_variant': 17, 'non_coding_transcript_variant': 9, 'upstream_gene_variant': 7, 'downstream_gene_variant': 26}	{'stop_gained': 37, 'frameshift_variant': 5, 'missense_variant': 8}	{'chr1': 2, 'chr2': 1, 'chr5': 1, 'chr9': 1, 'chr11': 1, 'chr17': 2, 'chr21': 1, 'chr22': 1, 'chrX': 2}	{'00-10%': 13, '10-20%': 4, '20-30%': 1, '30-40%': 5, '40-50%': 2, '50-60%': 3, '60-70%': 3, '70-80%': 1, '80-90%': 14, '90-100%': 4}	{'Lines of input read': 12, 'Variants processed': 12, 'Variants filtered out': 0, 'Overlapped genes': 19, 'Overlapped transcripts': 136}
59M-ensemble-annotated	{'deletion': 9, 'SNV': 25}	{'splice_donor_variant': 1, 'stop_gained': 12, 'frameshift_variant': 5, 'stop_lost': 1, 'start_lost': 1, 'inframe_deletion': 4, 'missense_variant': 10}	{'splice_donor_variant': 4, 'stop_gained': 33, 'frameshift_variant': 24, 'stop_lost': 3, 'start_lost': 3, 'inframe_deletion': 30, 'missense_variant': 45, 'splice_region_variant': 43, 'splice_polypyrimidine_tract_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 11, 'non_coding_transcript_exon_variant': 29, 'intron_variant': 36, 'NMD_transcript_variant': 23, 'non_coding_transcript_variant': 21, 'upstream_gene_variant': 21, 'downstream_gene_variant': 72}	{'stop_gained': 33, 'frameshift_variant': 24, 'stop_lost': 3, 'start_lost': 3, 'inframe_deletion': 30, 'missense_variant': 45}	{'chr1': 4, 'chr3': 1, 'chr4': 3, 'chr5': 1, 'chr6': 1, 'chr7': 4, 'chr8': 2, 'chr10': 1, 'chr12': 4, 'chr15': 1, 'chr17': 3, 'chr18': 2, 'chr19': 3, 'chr21': 1, 'chr22': 1, 'chrX': 2}	{'00-10%': 10, '10-20%': 24, '20-30%': 12, '30-40%': 12, '40-50%': 9, '50-60%': 15, '60-70%': 13, '70-80%': 23, '80-90%': 10, '90-100%': 10}	{'Lines of input read': 34, 'Variants processed': 34, 'Variants filtered out': 0, 'Overlapped genes': 52, 'Overlapped transcripts': 312}
59T-ensemble-annotated	{'insertion': 2, 'deletion': 5, 'SNV': 28}	{'splice_donor_variant': 6, 'stop_gained': 10, 'frameshift_variant': 3, 'stop_lost': 1, 'inframe_insertion': 2, 'inframe_deletion': 2, 'missense_variant': 11}	{'splice_donor_variant': 66, 'stop_gained': 34, 'frameshift_variant': 6, 'stop_lost': 1, 'inframe_insertion': 2, 'inframe_deletion': 2, 'missense_variant': 34, 'splice_region_variant': 61, 'splice_polypyrimidine_tract_variant': 2, 'stop_retained_variant': 3, 'synonymous_variant': 9, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 17, 'non_coding_transcript_exon_variant': 36, 'intron_variant': 133, 'NMD_transcript_variant': 101, 'non_coding_transcript_variant': 58, 'upstream_gene_variant': 34, 'downstream_gene_variant': 32}	{'stop_gained': 34, 'frameshift_variant': 6, 'stop_lost': 1, 'inframe_insertion': 2, 'inframe_deletion': 2, 'missense_variant': 34, 'stop_retained_variant': 3, 'synonymous_variant': 9}	{'chr1': 3, 'chr2': 3, 'chr5': 1, 'chr6': 3, 'chr7': 1, 'chr9': 1, 'chr10': 3, 'chr11': 2, 'chr12': 6, 'chr13': 1, 'chr14': 1, 'chr17': 2, 'chr19': 5, 'chr22': 2, 'chrX': 1}	{'00-10%': 1, '10-20%': 18, '20-30%': 11, '30-40%': 7, '40-50%': 8, '50-60%': 12, '60-70%': 5, '70-80%': 11, '80-90%': 6, '90-100%': 12}	{'Lines of input read': 35, 'Variants processed': 35, 'Variants filtered out': 0, 'Overlapped genes': 61, 'Overlapped transcripts': 411}
